Architecture    Offer                 Publisher                      Sku                                               Urn                                                                                                          Version
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-gs                                MicrosoftWindowsServer:WindowsServer:2016-datacenter-gs:14393.9339.260711                                    14393.9339.260711
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016u3hn-ws2012r2                                 MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016u3hn-ws2012r2:5.3.6435                                5.3.6435
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016u3hn-ws2012r2                                 MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016u3hn-ws2012r2:5.3.6450                                5.3.6450
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.8594.251112                           14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.8688.251205                           14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.8783.260109                           14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.8868.260206                           14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.8957.260304                           14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.9060.260413                           14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.9140.260507                           14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.9234.260607                           14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core                       MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core:14393.9339.260711                           14393.9339.260711
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016u3hn-ws2016                                   MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016u3hn-ws2016:5.3.6435                                  5.3.6435
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2016u3hn-ws2016                                   MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2016u3hn-ws2016:5.3.6450                                  5.3.6450
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.8594.251112                        14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.8688.251205                        14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.8783.260109                        14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.8868.260206                        14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.8957.260304                        14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.9060.260413                        14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.9140.260507                        14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.9234.260607                        14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-server-core-g2                    MicrosoftWindowsServer:WindowsServer:2016-datacenter-server-core-g2:14393.9339.260711                        14393.9339.260711
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2016                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2016:6.0.7121                                    6.0.7121
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2016                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2016:6.0.7201                                    6.0.7201
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2016                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2016:6.0.7205                                    6.0.7205
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2016                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2016:6.0.7214                                    6.0.7214
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2016                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2016:6.1.7531                                    6.1.7531
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.8594.251112                 14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.8688.251205                 14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.8783.260109                 14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.8868.260206                 14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.8957.260304                 14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-Server-Core-smalldisk             MicrosoftWindowsServer:WindowsServer:2016-Datacenter-Server-Core-smalldisk:14393.9060.260413                 14393.9060.260413
